region,hotel_name,date,occupancy_rate,bookings,cancellations,revenue,stars
Djerba,Radisson Blu Palace Resort Djerba,2024-01-16,0.98,184,6,37720,5
Djerba,Iberostar Mehari Djerba,2024-01-16,0.84,116,5,14152,4
Djerba,Vincci Helios Beach,2024-01-16,0.92,165,10,28215,4
Monastir,Hilton Skanes Monastir Beach,2024-01-16,0.98,224,24,62720,5
Monastir,One Resort Monastir,2024-01-16,0.88,71,7,7739,4
Monastir,Delphin El Habib,2024-01-16,0.67,177,17,18939,3
Tunis,Laico Tunis Hotel,2024-01-17,0.68,169,15,22308,4
Tunis,Hotel Africa Tunis,2024-01-17,0.71,140,5,22260,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-17,0.98,160,16,46240,5
Sousse,El Mouradi Palace,2024-01-17,0.67,143,15,19305,4
Sousse,Marhaba Beach Hotel,2024-01-17,0.9,121,12,13068,4
Sousse,Riadh Palms Resort,2024-01-17,0.7,220,9,35860,4
Hammamet,La Badira,2024-01-17,0.98,148,16,33744,5
Hammamet,Iberostar Averroes,2024-01-17,0.85,194,14,25608,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-17,0.88,93,9,25203,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-17,0.93,127,12,42799,5
Djerba,Iberostar Mehari Djerba,2024-01-17,0.86,134,13,19162,4
Djerba,Vincci Helios Beach,2024-01-17,0.72,118,5,16166,4
Monastir,Hilton Skanes Monastir Beach,2024-01-17,0.98,124,14,32984,5
Monastir,One Resort Monastir,2024-01-17,0.93,206,12,35432,4
Monastir,Delphin El Habib,2024-01-17,0.62,73,3,7665,3
Tunis,Laico Tunis Hotel,2024-01-18,0.93,148,10,22792,4
Tunis,Hotel Africa Tunis,2024-01-18,0.83,179,15,24523,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-18,0.98,199,15,67859,5
Sousse,El Mouradi Palace,2024-01-18,0.76,88,7,11264,4
Sousse,Marhaba Beach Hotel,2024-01-18,0.69,210,8,34020,4
Sousse,Riadh Palms Resort,2024-01-18,0.69,128,6,17280,4
Hammamet,La Badira,2024-01-18,0.98,158,12,33180,5
Hammamet,Iberostar Averroes,2024-01-18,0.88,156,8,16692,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-18,0.98,191,17,44312,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-18,0.97,209,10,39292,5
Djerba,Iberostar Mehari Djerba,2024-01-18,0.68,68,6,9452,4
Djerba,Vincci Helios Beach,2024-01-18,0.85,71,4,12780,4
Monastir,Hilton Skanes Monastir Beach,2024-01-18,0.88,209,12,72732,5
Monastir,One Resort Monastir,2024-01-18,0.74,155,17,21545,4
Monastir,Delphin El Habib,2024-01-18,0.72,148,12,9472,3
Tunis,Laico Tunis Hotel,2024-01-19,0.7,58,3,8990,4
Tunis,Hotel Africa Tunis,2024-01-19,0.67,204,11,32844,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-19,0.88,74,4,17020,5
Sousse,El Mouradi Palace,2024-01-19,0.84,73,7,9271,4
Sousse,Marhaba Beach Hotel,2024-01-19,0.79,183,9,28548,4
Sousse,Riadh Palms Resort,2024-01-19,0.88,70,2,8540,4
Hammamet,La Badira,2024-01-19,0.96,152,12,30704,5
Hammamet,Iberostar Averroes,2024-01-19,0.78,101,9,14140,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-19,0.98,237,24,70152,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-19,0.98,202,16,42824,5
Djerba,Iberostar Mehari Djerba,2024-01-19,0.81,216,14,24624,4
Djerba,Vincci Helios Beach,2024-01-19,0.71,63,6,8631,4
Monastir,Hilton Skanes Monastir Beach,2024-01-19,0.85,84,8,22848,5
Monastir,One Resort Monastir,2024-01-19,0.92,217,22,36890,4
Monastir,Delphin El Habib,2024-01-19,0.71,102,9,11220,3
Tunis,Laico Tunis Hotel,2024-01-20,0.88,201,10,23316,4
Tunis,Hotel Africa Tunis,2024-01-20,0.75,119,5,20706,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-20,0.98,79,3,21409,5
Sousse,El Mouradi Palace,2024-01-20,0.92,148,9,18796,4
Sousse,Marhaba Beach Hotel,2024-01-20,0.79,71,5,9443,4
Sousse,Riadh Palms Resort,2024-01-20,0.71,79,8,13825,4
Hammamet,La Badira,2024-01-20,0.84,226,21,73676,5
Hammamet,Iberostar Averroes,2024-01-20,0.68,123,8,19926,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-20,0.98,106,8,21094,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-20,0.84,156,17,32604,5
Djerba,Iberostar Mehari Djerba,2024-01-20,0.83,218,22,27250,4
Djerba,Vincci Helios Beach,2024-01-20,0.67,235,25,25615,4
Monastir,Hilton Skanes Monastir Beach,2024-01-20,0.88,63,5,13608,5
Monastir,One Resort Monastir,2024-01-20,0.67,141,10,23829,4
Monastir,Delphin El Habib,2024-01-20,0.75,234,24,17550,3
Tunis,Laico Tunis Hotel,2024-01-21,0.7,61,3,7686,4
Tunis,Hotel Africa Tunis,2024-01-21,0.93,81,8,14580,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-21,0.96,151,16,40619,5
Sousse,El Mouradi Palace,2024-01-21,0.93,168,13,28896,4
Sousse,Marhaba Beach Hotel,2024-01-21,0.69,55,3,8965,4
Sousse,Riadh Palms Resort,2024-01-21,0.82,215,13,35045,4
Hammamet,La Badira,2024-01-21,0.98,81,9,26568,5
Hammamet,Iberostar Averroes,2024-01-21,0.91,125,6,14000,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-21,0.86,169,12,51714,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-21,0.98,116,4,21692,5
Djerba,Iberostar Mehari Djerba,2024-01-21,0.82,137,12,18769,4
Djerba,Vincci Helios Beach,2024-01-21,0.89,62,4,10044,4
Monastir,Hilton Skanes Monastir Beach,2024-01-21,0.88,210,18,53550,5
Monastir,One Resort Monastir,2024-01-21,0.87,130,8,20540,4
Monastir,Delphin El Habib,2024-01-21,0.79,145,10,11020,3
Tunis,Laico Tunis Hotel,2024-01-22,0.74,181,20,27693,4
Tunis,Hotel Africa Tunis,2024-01-22,0.72,155,12,25730,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-22,0.93,77,5,25025,5
Sousse,El Mouradi Palace,2024-01-22,0.79,126,11,22428,4
Sousse,Marhaba Beach Hotel,2024-01-22,0.85,190,16,24320,4
Sousse,Riadh Palms Resort,2024-01-22,0.84,133,13,14231,4
Hammamet,La Badira,2024-01-22,0.89,226,13,53788,5
Hammamet,Iberostar Averroes,2024-01-22,0.81,69,5,12282,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-22,0.92,167,6,43420,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-22,0.9,199,17,61889,5
Djerba,Iberostar Mehari Djerba,2024-01-22,0.71,172,8,30616,4
Djerba,Vincci Helios Beach,2024-01-22,0.68,162,13,23004,4
Monastir,Hilton Skanes Monastir Beach,2024-01-22,0.94,177,9,55047,5
Monastir,One Resort Monastir,2024-01-22,0.72,168,7,18312,4
Monastir,Delphin El Habib,2024-01-22,0.65,178,19,17088,3
Tunis,Laico Tunis Hotel,2024-01-23,0.73,210,21,24570,4
Tunis,Hotel Africa Tunis,2024-01-23,0.79,167,5,23380,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-23,0.98,93,4,29667,5
Sousse,El Mouradi Palace,2024-01-23,0.69,209,13,36784,4
Sousse,Marhaba Beach Hotel,2024-01-23,0.92,78,6,10530,4
Sousse,Riadh Palms Resort,2024-01-23,0.86,205,11,25420,4
Hammamet,La Badira,2024-01-23,0.98,205,12,44895,5
Hammamet,Iberostar Averroes,2024-01-23,0.92,162,16,26730,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-23,0.91,128,4,30976,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-23,0.96,136,9,35496,5
Djerba,Iberostar Mehari Djerba,2024-01-23,0.83,60,7,8580,4
Djerba,Vincci Helios Beach,2024-01-23,0.83,149,8,16390,4
Monastir,Hilton Skanes Monastir Beach,2024-01-23,0.98,214,24,42586,5
Monastir,One Resort Monastir,2024-01-23,0.89,57,5,7353,4
Monastir,Delphin El Habib,2024-01-23,0.62,176,12,14432,3
Tunis,Laico Tunis Hotel,2024-01-24,0.86,232,9,29696,4
Tunis,Hotel Africa Tunis,2024-01-24,0.72,222,17,38850,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-24,0.87,189,15,50841,5
Sousse,El Mouradi Palace,2024-01-24,0.88,83,6,14608,4
Sousse,Marhaba Beach Hotel,2024-01-24,0.75,107,9,14445,4
Sousse,Riadh Palms Resort,2024-01-24,0.92,199,9,23681,4
Hammamet,La Badira,2024-01-24,0.91,127,10,25273,5
Hammamet,Iberostar Averroes,2024-01-24,0.9,226,23,30058,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-24,0.91,203,8,39382,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-24,0.91,184,5,48760,5
Djerba,Iberostar Mehari Djerba,2024-01-24,0.89,145,7,24795,4
Djerba,Vincci Helios Beach,2024-01-24,0.84,74,4,7548,4
Monastir,Hilton Skanes Monastir Beach,2024-01-24,0.84,182,18,42952,5
Monastir,One Resort Monastir,2024-01-24,0.77,126,14,15372,4
Monastir,Delphin El Habib,2024-01-24,0.69,126,10,10458,3
Tunis,Laico Tunis Hotel,2024-01-25,0.8,74,7,9472,4
Tunis,Hotel Africa Tunis,2024-01-25,0.75,126,13,14868,4
Tunis,Mövenpick Hotel du Lac Tunis,2024-01-25,0.95,99,4,17919,5
Sousse,El Mouradi Palace,2024-01-25,0.67,61,5,6283,4
Sousse,Marhaba Beach Hotel,2024-01-25,0.86,151,9,23103,4
Sousse,Riadh Palms Resort,2024-01-25,0.8,202,17,23634,4
Hammamet,La Badira,2024-01-25,0.87,116,4,29232,5
Hammamet,Iberostar Averroes,2024-01-25,0.87,124,6,12896,4
Hammamet,Hasdrubal Thalassa & Spa,2024-01-25,0.98,92,7,28704,5
Djerba,Radisson Blu Palace Resort Djerba,2024-01-25,0.98,193,20,47671,5
